intensidade,quantidade
0,0
1,0
2,0
3,0
4,0
5,0
6,0
7,0
8,0
9,0
10,0
11,0
12,0
13,0
14,0
15,0
16,0
17,0
18,0
19,0
20,0
21,0
22,0
23,0
24,0
25,0
26,0
27,0
28,0
29,0
30,414
31,493
32,284
33,219
34,350
35,426
36,544
37,508
38,762
39,920
40,803
41,1271
42,1137
43,1096
44,1476
45,1370
46,1721
47,1619
48,1695
49,2118
50,1918
51,2253
52,2295
53,2311
54,2815
55,2485
56,2962
57,2964
58,3038
59,3507
60,3320
61,3578
62,3535
63,3633
64,3894
65,3868
66,4017
67,4122
68,4064
69,4544
70,4385
71,4575
72,4800
73,4599
74,4979
75,4817
76,4947
77,5142
78,5126
79,5257
80,5406
81,5299
82,5529
83,5636
84,5532
85,5939
86,5704
87,6072
88,5897
89,5903
90,6230
91,6075
92,6103
93,6138
94,6210
95,6273
96,6420
97,6198
98,6338
99,6152
100,6138
101,6119
102,6033
103,6081
104,5940
105,6081
106,5994
107,5835
108,5623
109,5592
110,5588
111,5410
112,5263
113,5156
114,5064
115,5029
116,4751
117,4627
118,4559
119,4405
120,4270
121,4192
122,4014
123,3914
124,3741
125,3598
126,3573
127,3427
128,3392
129,3253
130,3101
131,3006
132,2761
133,2661
134,2610
135,2446
136,2296
137,2267
138,2185
139,2031
140,1878
141,1892
142,1762
143,1698
144,1657
145,1516
146,1542
147,1364
148,1299
149,1197
150,1077
151,978
152,924
153,835
154,744
155,684
156,655
157,563
158,553
159,522
160,509
161,479
162,419
163,413
164,442
165,399
166,370
167,331
168,328
169,331
170,333
171,332
172,296
173,340
174,319
175,331
176,462
177,594
178,660
179,597
180,712
181,971
182,998
183,1305
184,1454
185,1432
186,1424
187,1555
188,1834
189,2092
190,2535
191,2584
192,2784
193,2772
194,2740
195,2878
196,3272
197,3371
198,3644
199,3812
200,3769
201,3744
202,3897
203,4556
204,4721
205,4705
206,4582
207,4605
208,4945
209,4671
210,4338
211,4705
212,4459
213,4315
214,4146
215,3578
216,3160
217,3236
218,3179
219,2899
220,2980
221,2948
222,2770
223,2534
224,2211
225,2007
226,1886
227,1738
228,1761
229,1661
230,1539
231,1418
232,1120
233,913
234,831
235,713
236,667
237,486
238,398
239,404
240,284
241,222
242,158
243,157
244,137
245,93
246,74
247,60
248,43
249,37
250,28
251,12
252,14
253,12
254,10
255,14
