intensidade,quantidade
0,102708
1,0
2,4979
3,0
4,4817
5,4947
6,5142
7,0
8,5126
9,0
10,5257
11,5406
12,5299
13,0
14,5529
15,0
16,5636
17,5532
18,5939
19,0
20,5704
21,0
22,6072
23,5897
24,5903
25,0
26,6230
27,0
28,6075
29,6103
30,6138
31,0
32,6210
33,0
34,6273
35,6420
36,6198
37,0
38,6338
39,0
40,6152
41,6138
42,6119
43,0
44,6033
45,0
46,6081
47,5940
48,6081
49,0
50,5994
51,0
52,5835
53,5623
54,5592
55,0
56,5588
57,0
58,5410
59,5263
60,5156
61,0
62,5064
63,0
64,5029
65,4751
66,4627
67,0
68,4559
69,0
70,4405
71,4270
72,4192
73,0
74,4014
75,0
76,3914
77,3741
78,3598
79,0
80,3573
81,0
82,3427
83,3392
84,3253
85,0
86,3101
87,0
88,3006
89,2761
90,2661
91,0
92,2610
93,0
94,2446
95,2296
96,2267
97,0
98,2185
99,0
100,2031
101,1878
102,1892
103,0
104,1762
105,0
106,1698
107,1657
108,1516
109,0
110,1542
111,0
112,1364
113,1299
114,1197
115,0
116,1077
117,0
118,978
119,924
120,835
121,0
122,744
123,0
124,684
125,655
126,563
127,0
128,553
129,0
130,522
131,509
132,479
133,0
134,419
135,0
136,413
137,442
138,399
139,0
140,370
141,0
142,331
143,328
144,331
145,0
146,333
147,0
148,332
149,296
150,340
151,0
152,319
153,0
154,331
155,462
156,594
157,0
158,660
159,0
160,597
161,712
162,971
163,0
164,998
165,0
166,1305
167,1454
168,1432
169,0
170,1424
171,0
172,1555
173,1834
174,2092
175,0
176,2535
177,0
178,2584
179,2784
180,2772
181,0
182,2740
183,0
184,2878
185,3272
186,3371
187,0
188,3644
189,0
190,3812
191,3769
192,3744
193,0
194,3897
195,0
196,4556
197,4721
198,4705
199,0
200,4582
201,0
202,4605
203,4945
204,4671
205,0
206,4338
207,0
208,4705
209,4459
210,4315
211,0
212,4146
213,0
214,3578
215,3160
216,3236
217,0
218,3179
219,0
220,2899
221,2980
222,2948
223,0
224,2770
225,0
226,2534
227,2211
228,2007
229,0
230,1886
231,0
232,1738
233,1761
234,1661
235,0
236,1539
237,0
238,1418
239,1120
240,913
241,0
242,831
243,0
244,713
245,667
246,486
247,0
248,398
249,0
250,404
251,284
252,222
253,0
254,158
255,691
