intensidade,quantidade
0,414
1,493
2,284
3,219
4,350
5,426
6,544
7,508
8,762
9,920
10,803
11,1271
12,1137
13,1096
14,1476
15,1370
16,1721
17,1619
18,1695
19,2118
20,1918
21,2253
22,2295
23,2311
24,2815
25,2485
26,2962
27,2964
28,3038
29,3507
30,3320
31,3578
32,3535
33,3633
34,3894
35,3868
36,4017
37,4122
38,4064
39,4544
40,4385
41,4575
42,4800
43,4599
44,4979
45,4817
46,4947
47,5142
48,5126
49,5257
50,5406
51,5299
52,5529
53,5636
54,5532
55,5939
56,5704
57,6072
58,5897
59,5903
60,6230
61,6075
62,6103
63,6138
64,6210
65,6273
66,6420
67,6198
68,6338
69,6152
70,6138
71,6119
72,6033
73,6081
74,5940
75,6081
76,5994
77,5835
78,5623
79,5592
80,5588
81,5410
82,5263
83,5156
84,5064
85,5029
86,4751
87,4627
88,4559
89,4405
90,4270
91,4192
92,4014
93,3914
94,3741
95,3598
96,3573
97,3427
98,3392
99,3253
100,3101
101,3006
102,2761
103,2661
104,2610
105,2446
106,2296
107,2267
108,2185
109,2031
110,1878
111,1892
112,1762
113,1698
114,1657
115,1516
116,1542
117,1364
118,1299
119,1197
120,1077
121,978
122,924
123,835
124,744
125,684
126,655
127,563
128,553
129,522
130,509
131,479
132,419
133,413
134,442
135,399
136,370
137,331
138,328
139,331
140,333
141,332
142,296
143,340
144,319
145,331
146,462
147,594
148,660
149,597
150,712
151,971
152,998
153,1305
154,1454
155,1432
156,1424
157,1555
158,1834
159,2092
160,2535
161,2584
162,2784
163,2772
164,2740
165,2878
166,3272
167,3371
168,3644
169,3812
170,3769
171,3744
172,3897
173,4556
174,4721
175,4705
176,4582
177,4605
178,4945
179,4671
180,4338
181,4705
182,4459
183,4315
184,4146
185,3578
186,3160
187,3236
188,3179
189,2899
190,2980
191,2948
192,2770
193,2534
194,2211
195,2007
196,1886
197,1738
198,1761
199,1661
200,1539
201,1418
202,1120
203,913
204,831
205,713
206,667
207,486
208,398
209,404
210,284
211,222
212,158
213,157
214,137
215,93
216,74
217,60
218,43
219,37
220,28
221,12
222,14
223,12
224,10
225,5
226,3
227,4
228,1
229,0
230,0
231,0
232,0
233,0
234,0
235,0
236,1
237,0
238,0
239,0
240,0
241,0
242,0
243,0
244,0
245,0
246,0
247,0
248,0
249,0
250,0
251,0
252,0
253,0
254,0
255,0
